NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
11 Com b,16.1284,1.17872,326.03,0.231,94.8,2452899.6,302.8,Liu 2008,http://adsabs.harvard.edu/abs/2008ApJ...672..553L,Liu 2008,http://adsabs.harvard.edu/abs/2008ApJ...672..553L
HD 145377 b,5.78201,0.450064,103.95,0.307,138.1,2454635.4,242.7,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
Kepler-1554 b,,0.627489,198.088774,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-650 b,,0.0420644,3.03214559,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-289 d,,0.328137,66.0634,0.011,,2454965.6404,,Schmitt 2014,http://adsabs.harvard.edu/abs/2014ApJ...795..167S,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B
Kepler-1429 b,,0.0540966,4.48487493,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-194 c,,0.13095,17.308032,,90,2455009.94169,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
CoRoT-25 b,0.26487,0.0577982,4.86069,0,90,2454576.2156,30,Almenara 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.118A,Almenara 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.118A
Kepler-419 c,,1.68144,675.47,0.184,275.3,,,Dawson 2014,http://adsabs.harvard.edu/abs/2014ApJ...791...89D,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B
Kepler-332 b,,0.0758257,7.626324,,90,2454969.01672,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
omicron CrB b,1.47736,0.826048,187.83,0.191,79,2452211,32.25,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S
Kepler-229 c,,0.124621,16.068638,,90,2455006.62165,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-954 b,,0.12007,16.78176602,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1408 b,,0.0433594,2.99793191,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-779 b,,0.0557932,7.09714223,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
OGLE-TR-132 b,1.16945,0.0303507,1.689868,0,90,2453142.5912,167,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Bouchy 2004,http://adsabs.harvard.edu/abs/2004A%26A...421L..13B
beta Gem b,2.75822,1.75739,589.64001,0.02,354.58,2447739.02,41,Hatzes 2006,http://adsabs.harvard.edu/abs/2006A%26A...457..335H,Hatzes 1993,http://adsabs.harvard.edu/abs/1993ApJ...413..339H
Kepler-633 b,,0.0820733,8.50340718,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1159 b,,0.166307,22.70816791,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1443 b,,0.0373628,2.41811321,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Pr 201 b,0.540155,0.0565986,4.4264,0,90,2455992.861,58.1,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q
Kepler-541 b,,0.0648523,5.08005848,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-937 c,,0.587421,153.343364,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-625 c,,0.0513318,4.1653651,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
WASP-52 b,0.45566,0.0271336,1.7497798,0,90,2455793.68143,84.3,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H
Kepler-953 c,,0.0839169,9.10967112,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-337 c,,0.0889716,9.693201,,90,2454965.8115,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-213 b,,0.0356868,2.46236,,90,2455004.83986,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-386 c,,0.168189,25.193458,,90,2454979.43209,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
